WARNING 2025-06-13 06:50:30,754 basehttp 12864 9584 "GET /static/images/tech%20insights.jpg HTTP/1.1" 404 1934
WARNING 2025-06-13 06:50:30,759 basehttp 12864 14108 "GET /static/images/network%20infrastructure.jpg HTTP/1.1" 404 1961
WARNING 2025-06-13 06:50:35,201 basehttp 12864 13640 "GET /static/images/tech%20insights.jpg HTTP/1.1" 404 1934
WARNING 2025-06-13 06:50:35,201 basehttp 12864 13408 "GET /static/images/network%20infrastructure.jpg HTTP/1.1" 404 1961
INFO 2025-06-13 06:50:35,952 basehttp 12864 18252 "GET /products/ HTTP/1.1" 200 184352
INFO 2025-06-13 06:56:00,600 autoreload 12864 14060 D:\Websites\Hyperwave\core\views.py changed, reloading.
INFO 2025-06-13 06:56:02,279 autoreload 6068 7028 Watching for file changes with StatReloader
INFO 2025-06-13 06:56:28,139 basehttp 6068 7856 "GET /products/ HTTP/1.1" 200 89855
INFO 2025-06-13 06:56:28,217 basehttp 6068 7856 "GET /static/images/Tenda%20N300%20Wireless%20Router.jpg HTTP/1.1" 200 27607
INFO 2025-06-13 06:56:28,238 basehttp 6068 7856 "GET /static/images/Tenda%20AC5S%20AC1200%20Dual%20Band.jpg HTTP/1.1" 200 68796
INFO 2025-06-13 06:56:28,267 basehttp 6068 7856 "GET /static/images/Tenda%20AC8%20AC1200%20Gigabit%20Router.jpg HTTP/1.1" 200 91181
INFO 2025-06-13 06:56:28,287 basehttp 6068 7856 "GET /static/images/Tenda%204G03%20Pro%20LTE%20N300.jpg HTTP/1.1" 200 94428
INFO 2025-06-13 06:56:28,315 basehttp 6068 7856 "GET /static/images/TP-Link%20TL-WR844N%20300Mbps.jpg HTTP/1.1" 200 254899
INFO 2025-06-13 06:56:28,333 basehttp 6068 7856 "GET /static/images/TP-Link%20TL-WR1043ND%20450Mbps.jpg HTTP/1.1" 200 69659
INFO 2025-06-13 06:56:28,352 basehttp 6068 7856 "GET /static/images/TP-Link%20Archer%20C80%20AC1900.jpg HTTP/1.1" 200 88662
INFO 2025-06-13 06:56:28,380 basehttp 6068 7856 "GET /static/images/TP-Link%20Archer%20AX73%20WiFi%206.jpg HTTP/1.1" 200 173164
INFO 2025-06-13 06:56:28,383 basehttp 6068 13268 "GET /static/images/TP-Link%20Archer%20AX10%20WiFi%206.jpg HTTP/1.1" 200 54674
INFO 2025-06-13 06:56:28,404 basehttp 6068 7856 "GET /static/images/Netis%20W2%20300Mbps%20Router.jpg HTTP/1.1" 200 21831
INFO 2025-06-13 06:56:28,411 basehttp 6068 13268 "GET /static/images/Xiaomi%20Mi%204A%20AC1200.jpg HTTP/1.1" 200 19779
INFO 2025-06-13 06:56:28,428 basehttp 6068 7856 "GET /static/images/Linksys%20E900%20N300.jpg HTTP/1.1" 200 45553
INFO 2025-06-13 06:56:28,436 basehttp 6068 13268 "GET /static/images/D-Link%20DWR-M960%204G%20Router.png HTTP/1.1" 200 135284
INFO 2025-06-13 06:56:28,453 basehttp 6068 7856 "GET /static/images/Huawei%20HG8546M%204-Port%20ONU.jpg HTTP/1.1" 200 109643
INFO 2025-06-13 06:56:28,460 basehttp 6068 13268 "GET /static/images/Ubiquiti%20NanoStation%20M5.jpg HTTP/1.1" 200 5901
INFO 2025-06-13 06:56:28,476 basehttp 6068 7856 "GET /static/images/Ubiquiti%20NanoBeam%20M5-16.jpg HTTP/1.1" 200 29043
INFO 2025-06-13 06:56:28,486 basehttp 6068 13268 "GET /static/images/Ubiquiti%20LiteBeam%20M5-23.jpg HTTP/1.1" 200 52123
INFO 2025-06-13 06:56:28,498 basehttp 6068 7856 "GET /static/images/Ubiquiti%20PowerBeam%20M5-300.jpg HTTP/1.1" 200 20222
INFO 2025-06-13 06:56:28,508 basehttp 6068 13268 "GET /static/images/Ubiquiti%20PowerBeam%20M5-400.jpg HTTP/1.1" 200 16944
INFO 2025-06-13 06:56:28,519 basehttp 6068 7856 "GET /static/images/MikroTik%20hAP%20Lite%20RB941-2nD.png HTTP/1.1" 200 12149
INFO 2025-06-13 06:56:28,533 basehttp 6068 13268 "GET /static/images/MikroTik%20RB951Ui-2HnD.jpg HTTP/1.1" 200 17799
INFO 2025-06-13 06:56:28,542 basehttp 6068 7856 "GET /static/images/MikroTik%20L009UiGS-RM.jpg HTTP/1.1" 200 15511
INFO 2025-06-13 06:56:28,548 basehttp 6068 2428 "GET /static/images/Cambium%20cnPilot%20E400.jpg HTTP/1.1" 200 8828
INFO 2025-06-13 06:56:28,568 basehttp 6068 15672 "GET /static/images/Cambium%20ePMP%20Force%20180.jpg HTTP/1.1" 200 7423
INFO 2025-06-13 06:56:28,581 basehttp 6068 17840 "GET /static/images/Mimosa%20A5c%205GHz%20Radio.jpeg HTTP/1.1" 200 47932
INFO 2025-06-13 06:56:28,588 basehttp 6068 14072 "GET /static/images/MikroTik%20RB750P%20PBr2.jpg HTTP/1.1" 200 6856
INFO 2025-06-13 06:57:49,918 basehttp 6068 14072 "GET /products/ HTTP/1.1" 200 89855
INFO 2025-06-13 06:57:50,454 basehttp 6068 14072 "GET /blog/ HTTP/1.1" 200 71296
WARNING 2025-06-13 06:57:50,590 basehttp 6068 17840 "GET /static/images/network%20infrastructure.jpg HTTP/1.1" 404 1961
WARNING 2025-06-13 06:57:50,592 basehttp 6068 14072 "GET /static/images/tech%20insights.jpg HTTP/1.1" 404 1934
INFO 2025-06-13 06:57:51,589 basehttp 6068 15672 "GET /products/ HTTP/1.1" 200 89855
